nombre;precio_normal;precio_promocional;precio_CMR;descuento;paginacion
samsung S8+ G955F 4+64G Polvo;$ 2.471.001;$ 1.676.966;null;-32%;?
Celulares Lg G5 16mpx 32gb 4 Gb 4g Huell...;$ 990.900;$ 510.900;null;-48%;6
Celular Samsung A01 Rojo;null;$ 519.000;null;null;5
Apple Iphone Xr 64gb Rojo Red Unlocked;$ 4.999.999;$ 3.229.000;null;-35%;13
Celular Xiaomi Redmi Note 8 64Gb 4 Ram 4...;$ 899.900;$ 689.900;null;-23%;
celular nokia 3.1 libre OC 16gb android...;$ 599.900;$ 491.590;null;-18%;11
Celular Xiaomi Redmi Note 9s /64gb/48mp/...;$ 1.800.000;$ 995.000;null;-44%;
Celular Hyundai L553 16GB Dual Sim Card...;$ 439.900;$ 296.900;null;-32%;11
IPhone 7 Negro 128GB + Audífonos Inalámb...;$ 2.000.000;$ 1.859.900;null;-7%;13
samsung S7edge G935FD-32G Polvo;$ 1.695.789;$ 1.187.202;null;-29%;10
Celulares Lg G5 16mpx 32gb 4 Gb 4g Huell...;$ 960.900;$ 510.900;null;-46%;6
Cargador Cubo Apple Original Iphone 7 Pl...;$ 79.900;$ 42.900;null;-46%;3
samsung note8 N950FD 6+64G  Gris;$ 2.835.915;$ 1.864.424;null;-34%;10
Neffos C9 16GB;$ 599.900;$ 349.900;null;-41%;3
Celular Smartphone Libre Alcatel 1 Trasm...;$ 260.000;$ 219.990;null;-15%;3
samsung S10+ G975FD 8+128G Verde;$ 4.235.680;$ 3.388.544;null;-20%;10
Apple iPhone 7P(256GB)  Plata;$ 2.786.828;$ 2.292.689;null;-17%;13
Celular Motorola Moto E5 go 16GB 1Gb Ram...;$ 480.900;$ 369.900;null;-23%;6
Smartphone Bmobile AX684 4GB Gris;null;$ 144.900;$ 134.900;null;3
Apple iPhone 6 (16GB);$ 1.172.807;$ 859.706;null;-26%;?
Huawei Y9s Breathing Crystal;null;$ 1.399.900;null;null;2
Galaxy Note 5 32gb 4gb Ram - Blanco;$ 1.236.900;$ 746.900;null;-39%;5
Xiaomi Redmi Note 8 4 + 64GB Global Vers...;$ 959.000;$ 676.000;null;-29%;4
IPhone?8 64GB - Gris;$ 2.417.660;$ 1.726.900;null;-28%;8
Celular Samsung A01 Rojo;$ 599.900;$ 449.900;null;-25%;3
samsung S8+ G955F 4+64G Negro;$ 2.471.001;$ 1.676.966;null;-32%;10
Samsung Galaxy Note 4 Lte 4g 16mp 32gb 3...;$ 959.000;$ 560.000;null;-41%;5
Celular E553 Café Hyundai;null;$ 279.900;null;null;?
samsung S8 G950F 4+64G Negro;$ 2.262.611;$ 1.546.560;null;-31%;10
Celular Samsung Galaxy A11 AZUL;$ 649.900;$ 592.000;null;-8%;10
Código Spotify Premium 45.000 3 Meses Tv...;null;$ 79.900;null;null;11
"Galaxy S6 - 5.1""- 32GB - 3GB RAM Pantall...";$ 699.000;$ 560.000;null;-19%;5
samsung S10 G973F 8+128G  Blanco;$ 3.860.578;$ 3.088.462;null;-20%;?
Celular Motorola Moto G8 Plus 64Gb 4 Ram...;$ 1.200.000;$ 949.900;null;-20%;2
Huawei Y9 Prime 2019 Verde;null;$ 1.199.900;null;null;
Galaxy Note 5 32gb 4gb Ram - Negro;$ 1.236.900;$ 746.900;null;-39%;5
"Xperia XZ  5.2"" 32GB 3GB RAM 23MP - Negr...";$ 950.000;$ 520.000;null;-45%;4
Celular LG V20 64gb 4gb Ram 16mp 4g Lte...;$ 1.099.000;$ 560.900;null;-48%;6
Reloj Inteligente Smartwatch Sim SD Blue...;$ 149.900;$ 69.900;null;-53%;2
Celular Smartphone Libre Alcatel Pulse M...;$ 310.000;$ 274.900;null;-11%;4
google pixel-3a-64G  Negro;$ 2.180.489;$ 1.744.392;null;-19%;12
Samsung Galaxy S10 Prisma Azul;null;$ 3.299.900;null;null;4
Apple iPhone 7(128GB)  Negro brillante;$ 1.923.629;$ 1.458.388;null;-24%;13
Celular Moto E6 Plus - Rojo;$ 699.900;$ 549.900;null;-21%;6
Apple iPhone 6SP(32GB)  Oro rosa;$ 1.610.889;$ 1.318.349;null;-18%;?
Celular Huawei Y9 Prime 2019 128GB Verde;$ 1.249.980;$ 866.980;null;-30%;8
Celular Alcatel 3X, 32GB, 3ROM, 4G LTE,...;$ 499.900;$ 349.900;null;-30%;3
samsung S7edge G935FD-32G Negro;$ 1.695.789;$ 1.187.202;null;-29%;?
Apple iPhone 6SP(64GB)  Rosa dorada;$ 1.996.797;$ 1.407.262;null;-29%;?
Apple IPhone 7 32GB-Plata;null;$ 1.890.402;null;null;8
"GALAXY S7 5.1"" 32gb 4gb Ram Lte 12MP - D...";$ 990.600;$ 650.900;null;-34%;5
iPhone XR 64 GB - Blanco;$ 3.499.990;$ 2.499.990;null;-28%;8
samsung note9 N960FD 6+64G Azul;$ 3.861.195;$ 2.591.289;null;-32%;10
